,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
0,NIFTY SMLCAP 50,5349.95,5382.3,5348.35,5378.05,5331.95,46.100000000000364,0.86,5421.2,3984.65,398786307,33112135382.29,22-Aug-2023 16:00:00,23.47,2.86
1,WELSPUNINDEQN,115.3,123.0,114.95,122.75,114.95,7.8,6.79,123.0,62.0,14501926,1753862930.44,22-Aug-2023 15:59:57,47.28,14.95
2,HINDCOPPEREQN,137.5,146.35,137.1,144.75,136.7,8.05,5.89,160.7,93.85,13124521,1869194280.82,22-Aug-2023 15:58:50,21.03,13.96
3,BIRLACORPNEQN,1132.5,1192.85,1130.95,1185.45,1126.65,58.8,5.22,1268.0,843.15,281830,327517461.29999995,22-Aug-2023 15:59:28,13.9,-6.04
4,SUZLONEQN,19.95,20.85,19.95,20.85,19.9,0.9500000000000001,4.77,21.25,6.6,189624524,3919538911.0800004,22-Aug-2023 15:59:59,158.44,1.53
5,BDLEQN,1115.7,1150.0,1114.15,1147.0,1110.15,36.85,3.32,1278.0,785.75,304165,345494940.20000005,22-Aug-2023 15:59:05,33.08,-5.84
6,ANURASEQN,990.0,1012.0,978.0,1007.0,984.45,22.55,2.29,1234.0,570.0,318299,317729244.79,22-Aug-2023 15:58:35,30.98,0.48
7,IDBIEQN,60.75,62.4,60.75,61.8,60.6,1.2,1.98,66.85,38.65,8717301,537683125.68,22-Aug-2023 15:59:20,52.07,5.48
8,IDFCEQN,121.85,123.6,121.6,123.3,121.3,2.0,1.65,123.6,58.8,11032971,1353193893.15,22-Aug-2023 15:59:45,96.6,7.01
9,BIKAJIEQN,483.9,499.8,481.95,488.2,480.95,7.25,1.51,509.0,303.0,949159,466654022.34999996,22-Aug-2023 15:59:47,-,3.94
10,RBLBANKEQN,218.95,221.95,218.55,221.65,218.6,3.05,1.4,251.4,96.9,6499606,1432188182.1,22-Aug-2023 15:58:33,118.71,-1.35
11,UTIAMCEQN,738.85,758.95,738.1,748.5,738.8,9.7,1.31,908.0,608.0,188354,139939487.84,22-Aug-2023 15:57:13,-10.03,-9.36
12,CUBEQN,122.5,125.5,122.15,123.95,122.35,1.6,1.31,205.0,119.5,4792713,592331399.67,22-Aug-2023 15:58:09,-30.42,-6.85
13,CDSLEQN,1154.0,1176.9,1154.0,1164.8,1150.35,14.45,1.26,1451.9,880.9,352589,411467837.11,22-Aug-2023 15:58:55,-5.33,-3.08
14,CHAMBLFERTEQN,260.4,266.0,259.9,264.0,261.05,2.95,1.13,366.8,248.4,1483390,390962268.4,22-Aug-2023 15:59:58,-22.98,-2.79
15,GNFCEQN,543.9,553.5,543.0,549.8,543.95,5.85,1.08,789.25,484.45,836027,459706166.49,22-Aug-2023 15:59:53,-28.65,-8.25
