Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
01051100	Live fowls of species gallus domesticus, w eighing =<185g (chicks)	Australia	PCS	7280	9151	0
01051100	Live fowls of species gallus domesticus, w eighing =<185g (chicks)	France	PCS	4660	5298	0
01061900	Other; live mammals	Brunei Darussalam	PCS	1	25	2
01069000	Other live animals	Australia	PCS	1	200	20
01069000	Other live animals	Canada	PCS	2	51	5
01069000	Other live animals	Germany	PCS	1	26	3
01069000	Other live animals	Italy	PCS	2	400	40
01069000	Other live animals	Netherlands	PCS	2	400	40
01069000	Other live animals	Pakistan	PCS	1	26	3
01069000	Other live animals	Romania	PCS	2	401	40
01069000	Other live animals	Russian Federation	PCS	14	2441	244
01069000	Other live animals	Serbia	PCS	29	5800	581
01069000	Other live animals	South Africa	PCS	1	200	20
01069000	Other live animals	Spain	PCS	1	200	20
01069000	Other live animals	Turkey	PCS	1	38	4
01069000	Other live animals	United Kingdom	PCS	2	100	10
01069000	Other live animals	United States	PCS	7	325	33
02023000	Frozen boneless bovine meat	India	Kg	20000	3218	579
03011900	Other fish .	India	Kg	145	220	53
03019900	Other live fish	India	Kg	163	255	71
03019900	Other live fish	Thailand	Kg	1050	844	220
03027200	Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)	India	Kg	10176	2451	589
03027300	Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalm	India	Kg	2160	520	125
03027900	Other Fish Other than tilapias,catfish,carp & eels .	India	Kg	2880	694	166
03039900	Others	India	Kg	445	343	135
03046200	Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)	India	Kg	3500	870	493
03046200	Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)	Viet Nam	Kg	35000	11074	4068
03046900	Other fish meat frozen fillets Ã Ã  .	Viet Nam	Kg	15000	4373	1606
03052000	Livers and roes, dried, smoked, salted or in brine	Hong Kong	Kg	3	2	1
03053900	Other fish fillets dried,salted or in brine but not smoked	Hong Kong	Kg	3	2	1
03055900	Other dried fish, not smoked (excl cod)	Hong Kong	Kg	25	6	2
03061700	Other shrimps and prawns	India	Kg	2300	1143	413
04011000	Milk and cream of =<1% fat, not concentrat ed or sweetened	Germany	LTR	1080	210	26
04012000	Milk and cream of >1% but =<6% fat, not co ncentrated or sweetened	Germany	LTR	4320	863	108
04015000	Milk Of a fat content, by weight, exceeding 10  %	Denmark	LTR	269	201	25
04021020	Milk food for babies	India	Kg	35640	46769	17291
04021020	Milk food for babies	United Kingdom	Kg	370	678	259
04021090	Milk and cream in powder, granules or other solid forms of =<15% fat	Hong Kong	Kg	5	1	1
04021090	Milk and cream in powder, granules or other solid forms of =<15% fat	Japan	Kg	35	45	30
04021090	Milk and cream in powder, granules or other solid forms of =<15% fat	United States	Kg	3	3	2
04022100	Milk and cream in powder, granules or other  solid forms of >15% fat, unsweetened	Kuwait	Kg	28	21	14
04022100	Milk and cream in powder, granules or other  solid forms of >15% fat, unsweetened	Qatar	Kg	31	20	13
04022100	Milk and cream in powder, granules or other  solid forms of >15% fat, unsweetened	United Arab Emirates	Kg	2	3	2
04022910	Milk food for babies fat content exceeding 1.5%	Bahrain	Kg	12	3	1
04022910	Milk food for babies fat content exceeding 1.5%	India	Kg	53365	57979	21435
04022910	Milk food for babies fat content exceeding 1.5%	Japan	Kg	25	5	2
04022910	Milk food for babies fat content exceeding 1.5%	Malaysia	Kg	4	1	1
04022910	Milk food for babies fat content exceeding 1.5%	Oman	Kg	16	5	2
04022910	Milk food for babies fat content exceeding 1.5%	Qatar	Kg	56	20	7
04022910	Milk food for babies fat content exceeding 1.5%	Saudi Arabia	Kg	12	3	1
04022990	Others- Milk Powder, Granuals or other solid form	India	Kg	53374	27309	18348
04022990	Others- Milk Powder, Granuals or other solid form	Kuwait	Kg	80	27	18
04022990	Others- Milk Powder, Granuals or other solid form	Sri Lanka	Kg	34	16	11
04029900	Sweetened milk and cream (excl in solid form)	Belgium	Kg	225	306	210
04029900	Sweetened milk and cream (excl in solid form)	India	Kg	0	2	1
04039000	Buttermilk, curdled milk and cream, etc (e xcl. yogurt).	Germany	Kg	600	335	109
04041000	Whey & modified whey, whether or not conce ntrated or containing sweetening matter	India	Kg	22500	4851	1570
04049000	Products consisting of natural milk consti tuents, nes	Australia	Kg	5	18	5
04051000	Butter	India	Kg	10300	7259	4308
04061000	Fresh (unripened or uncured)cheese, includ ing whey cheese and curd.	Germany	Kg	195	254	44
04061000	Fresh (unripened or uncured)cheese, includ ing whey cheese and curd.	India	Kg	134	91	16
04062000	Grated or powdered cheese, of all kinds	India	Kg	7008	5102	1623
04063000	Processed cheese, not grated or powdered  .	Austria	Kg	3430	3231	1049
04063000	Processed cheese, not grated or powdered  .	India	Kg	9232	6658	2104
04064000	Blueveined cheese and other chese containi ng veins produced by Penicillium roquef	Denmark	Kg	20	49	16
04069000	Cheese, nes	Austria	Kg	74	132	43
04069000	Cheese, nes	Bhutan	Kg	2	0	0
04069000	Cheese, nes	Denmark	Kg	60	13	4
04069000	Cheese, nes	Germany	Kg	156	206	67
04069000	Cheese, nes	India	Kg	36614	24915	7886
04069000	Cheese, nes	Italy	Kg	127	325	105
04079000	Other bird's eggs . .	India	PCS	6000	894	103
04090010	Processed natural honey	India	Kg	49303	11449	2939
04090090	Processed natural honey	Australia	Kg	1	14	3
04090090	Processed natural honey	India	Kg	8730	1893	497
04101000	Insects	China	Kg	50	179	44
04109000	Other	China	Kg	10	231	56
05040000	Fresh,chilled,frozen,salted,dried,Guts,  bladders and stomachs of animals (excl	New Zealand	Kg	603	4939	1200
05059000	Skins and parts of birds (excl. feathers f or stuffing; down)	Japan	Kg	32	137	26
05080000	Coral; shells of molluscs, crustaceans or  echinoderms and cuttlebone, unworked	India	Kg	5228	2101	392
05080000	Coral; shells of molluscs, crustaceans or  echinoderms and cuttlebone, unworked	Yemen	Kg	13900	1425	266
05119100	Pieces of fish or dust and pieces of oysters	India	Kg	76600	1649	17
06012000	Bulbs, tubers, rhizomes in growth or in  flower; chicory plants and roots	Netherlands	PCS	2856	1227	0
06029000	Other live plants,nes	Armenia	PCS	42	60	0
06029000	Other live plants,nes	India	PCS	19400	1678	54
06029000	Other live plants,nes	Netherlands	PCS	1447	1676	0
06029000	Other live plants,nes	Thailand	PCS	2370	92	9
06029000	Other live plants,nes	United Arab Emirates	PCS	21	36	0
06031900	Other - Fresh cut flowers & buds  . .	India	Kg	66599	3667	1072
06039000	Dried, dyed, bleached or otherwise prepare d cut flowers and buds.	India	Kg	72	8	1
06049000	Other flowers not fresh  .	India	Kg	250	34	2
07011000	Seed potatoes fresh or chilled	India	Kg	60	2	0
07019000	Other potatoes, fresh or chilled	Bangladesh	Kg	84000	2114	423
07019000	Other potatoes, fresh or chilled	India	Kg	26530371	671083	94798
07019000	Other potatoes, fresh or chilled	Indonesia	Kg	15	0	0
07020000	Tomatoes fresh or chilled	India	Kg	3397850	39070	6016
07031000	Onions and shallots, fresh or chilled	India	Kg	14236297	514120	72826
07032000	Garlic, fresh or chilled  .	China	Kg	702240	84832	25112
07032000	Garlic, fresh or chilled  .	India	Kg	2270	204	57
07061000	Carrots and turnips, fresh or chilled	India	Kg	149250	2335	340
