SN,Customs,Imports_Value,Import_Share,Exports_Value,Export_Share
1,BHADRAPUR,9134,0.01,0,0.00
2,BHAIRAHAWA,18069038,13.76,486109,3.28
3,BIRATNAGAR,16351350,12.45,4801238,32.42
4,BIRGUNJ,47797623,36.41,4452910,30.07
5,CHOBHAR,26393,0.02,3308,0.02
6,DRYPORT,17762789,13.53,297018,2.01
7,GAUR,76076,0.06,0,0.00
8,GAUTAM BUDDHA AIRPORT,592,0.00,0,0.00
9,JALESHWOR,704440,0.54,85925,0.58
10,JANAKPUR,52676,0.04,0,0.00
11,KAILALI,1873330,1.43,110901,0.75
12,KANCHANPUR,114821,0.09,1532,0.01
13,KRISHNANAGAR,1794345,1.37,60253,0.41
14,MAHESHPAUR,22258,0.02,0,0.00
15,MECHI,4090882,3.12,1207639,8.15
16,NEPALGUNJ,5227390,3.98,119185,0.80
17,RAJBIRAJ,2919,0.00,0,0.00
18,RASUWA,2423846,1.85,0,0.00
19,SARLAHI,165125,0.13,2643,0.02
20,SATI,16650,0.01,0,0.00
21,SIRAHA,3623,0.00,0,0.00
22,SUNSARI,526501,0.40,0,0.00
23,SUTHAULI,215376,0.16,15776,0.11
24,TATOPANI,1183831,0.90,0,0.00
25,THADHI,5980,0.00,0,0.00
26,TI_AIRPORT,12769077,9.73,3165264,21.37
