HSCode,Description,Unit,Quantity,Exports_Value
1069000,Other live animals,PCS,3,13
4049000,"Products consisting of natural milk consti tuents, nes",Kg,63,30
4059010,Ghee,Kg,17,58
4090010,Processed natural honey,Kg,265,2698
5080000,"Coral; shells of molluscs, crustaceans or  echinoderms and cuttlebone, unworked",Kg,25,13
7032000,"Garlic, fresh or chilled  .",Kg,1450,52
7042000,"Brussels sprouts, fresh or chilled",Kg,274,17
7049000,"White and red cabbages, kohlrabi, kalee tc, fresh or chilled.",Kg,3099596,36170
7089000,"Leguminous vegetables, fresh or chilled, n es",Kg,84,19
7092000,"Asparagus, fresh or chilled",Kg,17368,3472
7094000,"Celery, fresh or chilled  .",Kg,1229,30
7095100,"Mushrooms of the genus agaricus, fresh or  chilled",Kg,130,13
7096000,"Fruits of genus capiscum or pimenta, fresh  or chilled",Kg,1756,55
7099900,Other fresh or chilled vegetables,Kg,285943,3907
7122000,Dried onions,Kg,8000,5040
7134090,Others,Kg,1535,295
8059000,"Citrus fruit, fresh or dried, nes",Kg,2130,32
8109090,"Other fruit, fresh, nes",Kg,2000,30
9011100,"Coffee, not roasted, not decaffeinated",Kg,4582,8379
9021000,"Green tea,whether or not flavoured, in imm  diate packings of content <=3kg",Kg,393,179
9022000,"Green tea,whether or not flavoured, nes",Kg,14127,22165
9024000,"Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o",Kg,1619185,390136
9041110,Dried pepper neither crushed nor ground,Kg,900,1108
9041190,Dried pepper neither crushed nor ground,Kg,4000,7934
9061100,Cinnamon (Cunnamomum zeylanicum Blume) - N either crushed nor ground,Kg,60321,4010
9061900,"Other - Cinnamon & cinnamon tree flowers,  neither crushed nor ground",Kg,58539,7315
9083110,Alaichi,Kg,277870,228586
9101110,Fresh Ginger nither crushed nor ground,Kg,2184750,69741
9101190,Other Ginger crushed or ground (sutho),Kg,39000,6240
9109100,Spice mixtures,Kg,2812,1897
9109990,Other spices nes .,Kg,34853,3630
10059000,Maize (excl seed),Kg,988,141
10061010,Seed of Paddy Rice,Kg,849,181
10063090,"Semi-milled or wholly milled rice, whether  or not polished or glazed",Kg,93,251
10081000,Buckwheat .,Kg,1470,321
11010000,Wheat or meslin flour except maida,Kg,36041,3360
11022000,Maize (corn) flour,Kg,1,7
11029000,"Other cereal flour, nes",Kg,8336,4388
12074000,Sesamum seeds  .,Kg,892,309
12119010,Yarchhagumba,Kg,203,124777
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",Kg,503323,63622
13021900,"Other vegetable saps and extracts, nes",Kg,26820,1764
14019000,"Vegetable materials for plaiting, (excl. b amboos and rattans)",Kg,3709,2635
14049010,Semi processed catechu of acacia (liquid ka tha),Kg,84615,12692
14049020,Cetechu of acacia (Kattha),Kg,102760,87477
14049040,Heart leaf (Pan ko Pat),Kg,500,232
14049050,Rudrakshya seeds,Kg,2858,248
14049060,Peal of edqeworthia crysantha(Mitusmata)(Ar eli ko bokra),Kg,6000,4283
14049070,Shop nut,Kg,29296,3524
14049080,Broom grass (Amriso),Kg,1011810,50545
14049090,Other vegetable products,Kg,9426,1347
15079000,Soya-bean oil (excl. crude) and fractions,Kg,5034327,1596272
15119010,"Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi",LTR,6189052,1281361
15119020,Refined bleached deodorized palm olein,LTR,7099742,1443714
15119090,"Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi",LTR,2987232,1017632
15121900,Sunflower-seed and safflower oil (excl. cr ude) and fractions thereof,LTR,346987,79189
15159000,"Other fixed vegetable fats and fractions,   es",LTR,24174,4226
16041200,Prepared or preserved herrings (excl. minc ed),Kg,55,18
17021100,Lactose and lactose syrup containing by we ight>=99% lactose calculated on the dry,Kg,785,255
17029020,"Artificial Honey, Weather or not mixed with natural honey",Kg,482,827
17029090,Other Sugar and sugar syrup blends containing in the dry strait 50% by,Kg,100,8
17031000,Cane molasses resulting from the extractio   or refining of sugar,Kg,650510,9159
17049000,"Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....",Kg,4667,1038
18061000,"Cocoa powder, containing added sugar or ot  er sweetening matter",Kg,13848,3908
18062000,"Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg",Kg,63,9
19019090,"Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa",Kg,9600,1753
19021100,Uncooked pasta containing eggs not stuffed,Kg,38891,9081
19021900,"Uncooked pasta, not containing eggs, not s tuffed",Kg,493614,105866
19023000,"Other pasta, nes .",Kg,377925,72776
19041099,Other Prepared foods obtained by the swelling or  roasting of cereals product,Kg,35,35
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,Kg,66597,22928
19049020,Beaten Rice (Chiura),Kg,86500,30544
19049090,Other prepared cereals in grain form (excl . maize) nes.,Kg,30,27
19053100,Sweet biscuits,Kg,49,166
19059020,"Kurkure, Kurmure, Lays, Cheeseballs",Kg,4169,2126
19059090,Other bakers' wares nes,Kg,12119,6572
20019000,"Other vegetables, fruits, etc, preserved by vinegar or acetic acid, nes",Kg,8226,4356
20052010,Potatoes for frozen for French Fries  .,Kg,119,14
20091100,"Frozen orange juice, unfermented, not cont  ining added spirit",LTR,675839,57585
20091900,"Unfrozen orange juice, unfermented, not co  taining added spirit.",LTR,2400,231
20092100,Grapefruit juice of a brix value <=20,LTR,41236,2712
20094100,Pineapple juice of a brix value <=20  .,LTR,351067,30321
20095000,"Tomato juice, unfermented, not containing   dded spirit",LTR,5400,346
20097100,Apple juice of a brix value <=20  .,LTR,245610,21356
20097900,Other apple juice,LTR,2400,188
20098100,"Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos) juice; lingonberry (Vaccinium",LTR,1200,97
20099000,"Mixtures of juices, unfermented, not conta  ning added spirit.",LTR,2751255,205661
21032000,Tomato ketchup and other tomato sauces,Kg,55,20
