HSCode,Description,Partner Countries,Unit,Quantity,Exports_Value
1069000,Other live animals,Japan,PCS,3,13
4049000,"Products consisting of natural milk consti tuents, nes",India,Kg,63,30
4059010,Ghee,Australia,Kg,17,58
4090010,Processed natural honey,Australia,Kg,265,2698
5080000,"Coral; shells of molluscs, crustaceans or  echinoderms and cuttlebone, unworked",United States,Kg,25,13
7032000,"Garlic, fresh or chilled  .",Qatar,Kg,1450,52
7042000,"Brussels sprouts, fresh or chilled",United Arab Emirates,Kg,274,17
7049000,"White and red cabbages, kohlrabi, kalee tc, fresh or chilled.",India,Kg,3099596,36170
7089000,"Leguminous vegetables, fresh or chilled, n es",Hong Kong,Kg,84,19
7092000,"Asparagus, fresh or chilled",Qatar,Kg,17368,3472
7094000,"Celery, fresh or chilled  .",Hong Kong,Kg,1229,30
7095100,"Mushrooms of the genus agaricus, fresh or  chilled",United Arab Emirates,Kg,130,13
7096000,"Fruits of genus capiscum or pimenta, fresh  or chilled",Hong Kong,Kg,1477,36
7096000,"Fruits of genus capiscum or pimenta, fresh  or chilled",India,Kg,200,6
7096000,"Fruits of genus capiscum or pimenta, fresh  or chilled",United Arab Emirates,Kg,79,14
7099900,Other fresh or chilled vegetables,Hong Kong,Kg,663,20
7099900,Other fresh or chilled vegetables,India,Kg,285280,3887
7122000,Dried onions,India,Kg,8000,5040
7134090,Others,Australia,Kg,1535,295
8059000,"Citrus fruit, fresh or dried, nes",India,Kg,2130,32
8109090,"Other fruit, fresh, nes",India,Kg,2000,30
9011100,"Coffee, not roasted, not decaffeinated",Germany,Kg,4000,7394
9011100,"Coffee, not roasted, not decaffeinated",Hong Kong,Kg,170,457
9011100,"Coffee, not roasted, not decaffeinated",India,Kg,40,62
9011100,"Coffee, not roasted, not decaffeinated",Japan,Kg,305,448
9011100,"Coffee, not roasted, not decaffeinated","Taiwan, Province of China",Kg,67,18
9021000,"Green tea,whether or not flavoured, in imm  diate packings of content <=3kg",Australia,Kg,393,179
9022000,"Green tea,whether or not flavoured, nes",Canada,Kg,930,1755
9022000,"Green tea,whether or not flavoured, nes",China,Kg,1851,367
9022000,"Green tea,whether or not flavoured, nes",Finland,Kg,30,169
9022000,"Green tea,whether or not flavoured, nes",France,Kg,363,1365
9022000,"Green tea,whether or not flavoured, nes",Germany,Kg,4298,9612
9022000,"Green tea,whether or not flavoured, nes",Hong Kong,Kg,2550,42
9022000,"Green tea,whether or not flavoured, nes",Japan,Kg,3119,5259
9022000,"Green tea,whether or not flavoured, nes","Korea, Republic of",Kg,26,414
9022000,"Green tea,whether or not flavoured, nes",Lithuania,Kg,800,2287
9022000,"Green tea,whether or not flavoured, nes",New Zealand,Kg,6,69
9022000,"Green tea,whether or not flavoured, nes",United Kingdom,Kg,21,144
9022000,"Green tea,whether or not flavoured, nes",United States,Kg,133,682
9024000,"Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o",France,Kg,5806,10741
9024000,"Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o",India,Kg,1600000,368194
9024000,"Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o",Russian Federation,Kg,11214,6789
9024000,"Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o",United States,Kg,2165,4411
9041110,Dried pepper neither crushed nor ground,Germany,Kg,900,1108
9041190,Dried pepper neither crushed nor ground,Germany,Kg,4000,7934
9061100,Cinnamon (Cunnamomum zeylanicum Blume) - N either crushed nor ground,India,Kg,60321,4010
9061900,"Other - Cinnamon & cinnamon tree flowers,  neither crushed nor ground",India,Kg,58539,7315
9083110,Alaichi,India,Kg,277870,228586
9101110,Fresh Ginger nither crushed nor ground,India,Kg,2184750,69741
9101190,Other Ginger crushed or ground (sutho),India,Kg,39000,6240
9109100,Spice mixtures,United States,Kg,2812,1897
9109990,Other spices nes .,Australia,Kg,1495,499
9109990,Other spices nes .,India,Kg,32780,2754
9109990,Other spices nes .,Japan,Kg,578,377
10059000,Maize (excl seed),Australia,Kg,988,141
10061010,Seed of Paddy Rice,Australia,Kg,849,181
10063090,"Semi-milled or wholly milled rice, whether  or not polished or glazed",Australia,Kg,93,251
10081000,Buckwheat .,Australia,Kg,1470,321
11010000,Wheat or meslin flour except maida,Australia,Kg,41,40
11010000,Wheat or meslin flour except maida,Japan,Kg,36000,3319
11022000,Maize (corn) flour,Australia,Kg,1,7
11029000,"Other cereal flour, nes",Australia,Kg,8336,4388
12074000,Sesamum seeds  .,Australia,Kg,892,309
12119010,Yarchhagumba,Cambodia,Kg,104,64575
12119010,Yarchhagumba,Hong Kong,Kg,81,50438
12119010,Yarchhagumba,"Korea, Republic of",Kg,0,29
12119010,Yarchhagumba,Singapore,Kg,2,1277
12119010,Yarchhagumba,United Kingdom,Kg,3,1904
12119010,Yarchhagumba,United States,Kg,8,5028
12119010,Yarchhagumba,Viet Nam,Kg,6,1527
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",Cambodia,Kg,5,13
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",Hong Kong,Kg,680,303
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",India,Kg,320618,51850
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",Malaysia,Kg,20,36
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",Myanmar,Kg,182000,11420
13021900,"Other vegetable saps and extracts, nes",India,Kg,26820,1764
14019000,"Vegetable materials for plaiting, (excl. b amboos and rattans)",Australia,Kg,174,128
14019000,"Vegetable materials for plaiting, (excl. b amboos and rattans)",United States,Kg,3535,2507
14049010,Semi processed catechu of acacia (liquid ka tha),India,Kg,84615,12692
14049020,Cetechu of acacia (Kattha),India,Kg,102760,87477
14049040,Heart leaf (Pan ko Pat),France,Kg,500,232
14049050,Rudrakshya seeds,China,Kg,2858,248
14049050,Rudrakshya seeds,India,Kg,0,0
14049060,Peal of edqeworthia crysantha(Mitusmata)(Ar eli ko bokra),Japan,Kg,6000,4283
14049070,Shop nut,India,Kg,29296,3524
14049080,Broom grass (Amriso),India,Kg,1011810,50545
14049090,Other vegetable products,China,Kg,9426,1347
15079000,Soya-bean oil (excl. crude) and fractions,India,Kg,5034327,1596272
15119010,"Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi",India,LTR,6189052,1281361
15119020,Refined bleached deodorized palm olein,India,LTR,7099742,1443714
15119090,"Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi",India,LTR,2987232,1017632
15121900,Sunflower-seed and safflower oil (excl. cr ude) and fractions thereof,India,LTR,346987,79189
15159000,"Other fixed vegetable fats and fractions,   es",India,LTR,24140,3901
15159000,"Other fixed vegetable fats and fractions,   es",Japan,LTR,34,325
16041200,Prepared or preserved herrings (excl. minc ed),United Arab Emirates,Kg,55,18
17021100,Lactose and lactose syrup containing by we ight>=99% lactose calculated on the dry,United States,Kg,785,255
17029020,"Artificial Honey, Weather or not mixed with natural honey",Japan,Kg,220,64
17029020,"Artificial Honey, Weather or not mixed with natural honey",United States,Kg,262,763
17029090,Other Sugar and sugar syrup blends containing in the dry strait 50% by,India,Kg,100,8
17031000,Cane molasses resulting from the extractio   or refining of sugar,India,Kg,650510,9159
17049000,"Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....",Australia,Kg,392,18
17049000,"Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....",India,Kg,4275,1020
18061000,"Cocoa powder, containing added sugar or ot  er sweetening matter",United States,Kg,13848,3908
18062000,"Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg",Australia,Kg,63,9
19019090,"Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa",Hong Kong,Kg,9600,1753
19021100,Uncooked pasta containing eggs not stuffed,India,Kg,38891,9081
19021900,"Uncooked pasta, not containing eggs, not s tuffed",Australia,Kg,41727,14299
19021900,"Uncooked pasta, not containing eggs, not s tuffed",India,Kg,335255,55554
19021900,"Uncooked pasta, not containing eggs, not s tuffed",Japan,Kg,31158,8813
19021900,"Uncooked pasta, not containing eggs, not s tuffed",Malaysia,Kg,14795,10151
19021900,"Uncooked pasta, not containing eggs, not s tuffed",Singapore,Kg,4905,1349
19021900,"Uncooked pasta, not containing eggs, not s tuffed",United States,Kg,65773,15700
19023000,"Other pasta, nes .",Australia,Kg,30309,11512
19023000,"Other pasta, nes .",India,Kg,336555,58042
19023000,"Other pasta, nes .",United Arab Emirates,Kg,11061,3223
19041099,Other Prepared foods obtained by the swelling or  roasting of cereals product,Australia,Kg,35,35
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,Australia,Kg,55511,20776
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,Hong Kong,Kg,2730,94
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,Japan,Kg,1426,820
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,United Kingdom,Kg,230,280
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,United States,Kg,6700,958
19049020,Beaten Rice (Chiura),Australia,Kg,8941,2194
19049020,Beaten Rice (Chiura),India,Kg,11590,1001
19049020,Beaten Rice (Chiura),Japan,Kg,9047,5472
19049020,Beaten Rice (Chiura),United Kingdom,Kg,17643,3167
19049020,Beaten Rice (Chiura),United States,Kg,39279,18710
19049090,Other prepared cereals in grain form (excl . maize) nes.,Australia,Kg,30,27
19053100,Sweet biscuits,Australia,Kg,49,166
19059020,"Kurkure, Kurmure, Lays, Cheeseballs",India,Kg,4169,2126
19059090,Other bakers' wares nes,Australia,Kg,2550,920
19059090,Other bakers' wares nes,Qatar,Kg,9569,5652
20019000,"Other vegetables, fruits, etc, preserved by vinegar or acetic acid, nes",Australia,Kg,40,23
20019000,"Other vegetables, fruits, etc, preserved by vinegar or acetic acid, nes",United States,Kg,8186,4333
20052010,Potatoes for frozen for French Fries  .,Australia,Kg,119,14
20091100,"Frozen orange juice, unfermented, not cont  ining added spirit",India,LTR,675839,57585
20091900,"Unfrozen orange juice, unfermented, not co  taining added spirit.",Bangladesh,LTR,2400,231
20092100,Grapefruit juice of a brix value <=20,India,LTR,41236,2712
20094100,Pineapple juice of a brix value <=20  .,India,LTR,351067,30321
20095000,"Tomato juice, unfermented, not containing   dded spirit",India,LTR,5400,346
20097100,Apple juice of a brix value <=20  .,India,LTR,245610,21356
20097900,Other apple juice,Bangladesh,LTR,2400,188
20098100,"Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos) juice; lingonberry (Vaccinium",Bangladesh,LTR,1200,97
20099000,"Mixtures of juices, unfermented, not conta  ning added spirit.",Bangladesh,LTR,1800,639
20099000,"Mixtures of juices, unfermented, not conta  ning added spirit.",India,LTR,2749455,205022
21032000,Tomato ketchup and other tomato sauces,Australia,Kg,55,20
21039010,"Sauces and sauce preparations; mixed condi ments and seasonings, nes",Australia,Kg,63,147
21039010,"Sauces and sauce preparations; mixed condi ments and seasonings, nes",India,Kg,5000,4200
21039020,Pickle,Australia,Kg,878,975
21039020,Pickle,Italy,Kg,17464,8739
21039020,Pickle,"Korea, Republic of",Kg,5243,1446
21039020,Pickle,United States,Kg,22440,13809
21039090,Other Sauces and preparations,Australia,Kg,109,7
21039090,Other Sauces and preparations,India,Kg,3225,264
21069010,"Dalmot,Papad,salted,Bhujia and Chamena(tit bits).",Australia,Kg,90,69
21069010,"Dalmot,Papad,salted,Bhujia and Chamena(tit bits).",India,Kg,9515,1676
21069099,Other Food Preparations,Australia,Kg,84,24
22011010,"Mineral waters and aerated waters, unsweet ened",India,LTR,70,0
22021000,"Waters (incl. mineral and aerated), with a dded sugar, sweetener, etc.",India,LTR,998368,57734
22029910,Energy Drink,India,LTR,8976,1553
22030000,Beer made from malt,Australia,LTR,36432,6224
22030000,Beer made from malt,India,LTR,32400,1843
22030000,Beer made from malt,Japan,LTR,17432,2821
