HSCode,Description,Unit,Quantity,Imports_Value,Imports_Revenue
1051100,"Live fowls of species gallus domesticus, w eighing =<185g (chicks)",PCS,11940,14449,0
1061900,Other; live mammals,PCS,1,25,2
1069000,Other live animals,PCS,66,10608,1063
2023000,Frozen boneless bovine meat,Kg,20000,3218,579
3011900,Other fish .,Kg,145,220,53
3019900,Other live fish,Kg,1213,1100,291
3027200,"Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)",Kg,10176,2451,589
3027300,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalm",Kg,2160,520,125
3027900,"Other Fish Other than tilapias,catfish,carp & eels .",Kg,2880,694,166
3039900,Others,Kg,445,343,135
3046200,"Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)",Kg,38500,11944,4561
3046900,Other fish meat frozen fillets Ã Ã  .,Kg,15000,4373,1606
3052000,"Livers and roes, dried, smoked, salted or in brine",Kg,3,2,1
3053900,"Other fish fillets dried,salted or in brine but not smoked",Kg,3,2,1
3055900,"Other dried fish, not smoked (excl cod)",Kg,25,6,2
3061700,Other shrimps and prawns,Kg,2300,1143,413
4011000,"Milk and cream of =<1% fat, not concentrat ed or sweetened",LTR,1080,210,26
4012000,"Milk and cream of >1% but =<6% fat, not co ncentrated or sweetened",LTR,4320,863,108
4015000,"Milk Of a fat content, by weight, exceeding 10  %",LTR,269,201,25
4021020,Milk food for babies,Kg,36010,47448,17549
4021090,"Milk and cream in powder, granules or other solid forms of =<15% fat",Kg,42,49,33
4022100,"Milk and cream in powder, granules or other  solid forms of >15% fat, unsweetened",Kg,61,43,28
4022910,Milk food for babies fat content exceeding 1.5%,Kg,53490,58015,21448
4022990,"Others- Milk Powder, Granuals or other solid form",Kg,53488,27351,18376
4029900,Sweetened milk and cream (excl in solid form),Kg,225,307,211
4039000,"Buttermilk, curdled milk and cream, etc (e xcl. yogurt).",Kg,600,335,109
4041000,"Whey & modified whey, whether or not conce ntrated or containing sweetening matter",Kg,22500,4851,1570
4049000,"Products consisting of natural milk consti tuents, nes",Kg,5,18,5
4051000,Butter,Kg,10300,7259,4308
4061000,"Fresh (unripened or uncured)cheese, includ ing whey cheese and curd.",Kg,329,345,60
4062000,"Grated or powdered cheese, of all kinds",Kg,7008,5102,1623
4063000,"Processed cheese, not grated or powdered  .",Kg,12662,9889,3153
4064000,Blueveined cheese and other chese containi ng veins produced by Penicillium roquef,Kg,20,49,16
4069000,"Cheese, nes",Kg,37032,25592,8105
4079000,Other bird's eggs . .,PCS,6000,894,103
4090010,Processed natural honey,Kg,49303,11449,2939
4090090,Processed natural honey,Kg,8731,1907,500
4101000,Insects,Kg,50,179,44
4109000,Other,Kg,10,231,56
5040000,"Fresh,chilled,frozen,salted,dried,Guts,  bladders and stomachs of animals (excl",Kg,603,4939,1200
5059000,Skins and parts of birds (excl. feathers f or stuffing; down),Kg,32,137,26
